geo_type,region,transportation_type,alternative_name,sub-region,country,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020
county,Autauga County,driving,,Alabama,United States,100,99.14,113.51,123.01,150.98,131.97,100.56,127.35,109.97,101.51,117.09,136.8,139.05,103.13,105.48,103.86,99.98,115.69,145.31,145.13,105.78,110.47,108.94,101.4,111.91,137.47,137.25,108.05,109.39,116.02,116.4,125.4,175.44,141.59,104.81,130.58,109.61,119.56,130.71,163.24,147.08,115.76,117.5,119.38,120.33,135.7,175.22,166.33,134.36,123.05,125.49,112.48,132.42,171.72,200.93,134.43,146.15,128.4,129.94,142.67,188.54,206.07,135.89,134.45,128.12,123.38,118.71,146,127.11,82.8,90.68,93.87,96.4,93.76,105.61,93.44,70.11,92.45,82.84,92.75,89.49,104.6,80.98,60.13,82.02,80.98,82.8,100.11,105.37,96.98,50.98,88.84,92.42,96.5,103.48,120.89,112.45,63.26,106.43,110.53,107.62,92.66,130.87,119.45,99.68,115.99,112.35,99.78,124.37,161.32,139.97,111.37,128.77,129.81,132.07,148.89,166.65,169.33,129.4,,,161.95,167.77,186.77,183.51,148.05,162.1,165.83,171.62,194.5,249.64,213.71,164.93,184.39,169.05,165.92,178.96,216.66,245.2,172.95,171.27,154.07,171.9,176.99,220.79,252.62,162.62,166.5,167.21,176.88,193.05,237.41,279.45,189.32,184.93,177.49,180.94,198.66,246.32,404.55,185.32,190.37,180.7,179.04,201.77,243.56,315.39,199.18
county,Baldwin County,driving,,Alabama,United States,100,106,107.9,113.98,135.97,129.51,100.75,115.25,102.37,103.12,110.73,128.5,126.47,88.98,101.31,107.13,102.12,117.14,130.76,138.82,97.87,108.4,106.72,102.04,108.3,145.91,133.63,102.92,111.42,118.12,116.45,130.33,172.65,178.01,119.74,129.94,126.35,125.45,135.9,189.3,165.4,126.46,132.27,122.82,131.2,134.88,167.03,175.72,128.02,122.34,123.18,115.85,137.2,183.36,209.97,169.31,173.32,170.8,170.19,184.07,216.92,242.99,191.36,180.43,162.35,153.68,145.43,133.04,89.71,63.27,79.01,76.55,78.91,80.4,84.31,72.13,56.84,72.38,70.74,72.82,72.94,76.82,58.51,46.39,66.55,67.64,71.37,74.55,79.26,67.48,38.71,74.87,77.17,77.99,83.19,90.16,76.14,59.92,81.73,84.15,86.64,76.87,108.34,92.47,76.64,91.52,94.52,89.57,115.8,152.56,149.98,138.01,142.66,142.44,153.62,174.62,205.89,200.77,165.25,,,192.63,226.71,280.58,301.32,263.24,230.66,212.22,226.54,262.74,357.06,371.98,308.52,318.28,250.52,236.77,264.27,305.32,336.26,293.37,245.32,228.23,233.27,248.15,283.01,318.04,184.52,221.78,215.55,236.91,273.96,337.28,432.87,330.81,284.34,267,276.46,305.93,348.9,451.67,323.7,294.92,253.32,286.27,306,353.54,420.01,338.98
county,Barbour County,driving,,Alabama,United States,100,101.58,114.33,124.47,182.66,148.38,132.38,140.78,125.57,120.67,121.77,147.51,159.7,115.6,108.08,97.7,101.03,144.66,146.56,144.1,114.57,122.8,145.92,123.75,130.4,168.33,173.79,148.69,123.67,130.32,130.56,139.43,216.86,175.77,136.58,150.67,121.77,120.51,127.08,167.06,167.62,119.56,114.89,129.61,139.83,140.22,180.76,170.63,151.31,135,125.1,116.55,149.88,209.9,249.01,204.28,142.76,142.68,134.44,176.48,228.35,237.29,182.98,163.74,143.55,152.18,153.84,168.88,151.39,105.62,106.57,88.68,95.25,103.09,118.92,121.46,102.14,98.81,98.73,98.65,98.81,95.41,87.89,62.71,79.02,93.59,85.04,94.93,106.97,87.81,67.7,106.33,94.3,97.47,110.29,113.54,121.46,75.93,116.47,130.17,117.74,77.36,140.22,162.95,106.97,119.87,108.79,117.18,145.37,171.81,178.38,145.61,150.36,143.71,145.76,154.55,222.17,208.31,186.78,,,190.82,200.24,250.75,246.32,238.95,184.64,175.93,187.17,252.26,374.82,356.22,246.79,379.73,231.43,202.14,231.2,286.78,335.63,257.72,215.28,202.45,212.03,233.25,320.74,395.09,246,217.42,202.93,217.02,278.07,354.47,488.12,338.88,240.93,236.1,241.01,278.94,341.57,504.51,321.77,261.36,219.87,231.35,267.85,339.98,455.82,317.81
county,Bibb County,driving,,Alabama,United States,100,108.09,117.09,127.82,155.73,127.45,101.45,138.36,116.36,111.18,118.09,142.27,138.82,108.55,126.55,123.64,105.36,136.64,156.82,123.64,101,115.73,134.55,125,113.09,144,135.09,122.36,109.09,127.18,121.18,129.91,172.64,154.09,117.64,130.55,113,127.82,123.73,166.91,156.18,110.27,123.18,125.18,130.55,142.91,178.73,154,139.09,135.27,121,117.73,126.73,171.18,169.82,118.27,154.73,133.27,129.82,143.55,158.36,159.36,115.36,119.18,115.45,105.45,111.64,122.55,113.18,80.82,100.91,96.64,105,103.55,120.64,110.82,73.82,89,81.64,86.55,99.45,109.55,85,62,88.09,82.91,92.27,107.09,105,89.64,47.55,96.91,112.36,113.09,106.27,125.45,122.27,62.91,108,107.27,122.73,105.55,149.09,128,103.73,117.27,124,112.09,134.73,159.55,151.18,128.09,127.55,141.82,138.36,133.82,140.64,150.18,124.55,,,154.18,171.82,188.27,167.73,131.09,142.18,172.27,171.45,167.55,195.91,192.55,143.82,157,138.73,152.27,168.64,217,183.36,147.55,171.45,168,169.55,166.91,212.82,199.45,142.73,161.82,150.36,174.36,169.55,217.82,200.45,163.55,179.82,182.64,178.73,177.55,211.09,251.18,154.73,169.55,168.27,163.64,184.73,213.36,245,163.36
county,Blount County,driving,,Alabama,United States,100,101.32,96.79,108.01,129.27,115.03,94.73,116.04,96.5,91.56,102.95,122.9,127.6,94.65,97.27,94.58,91.18,103.28,122.68,131.24,94.37,103.91,101.94,92.26,116.76,121.6,125.46,105.66,94.68,106.88,102.23,118.72,140.49,148.91,103.36,117.81,106.02,108.85,125.17,144.38,141,94.25,104.96,117.98,109.25,115.75,139.01,145.41,104.63,102.88,105.18,99.98,110.6,152.98,163.03,115.3,117.02,108.99,102.52,114.41,140.11,152.98,94.75,99.09,90.6,92.11,92.45,98.47,90.77,66.51,71.4,79.96,87.41,90.6,91.03,87.84,65.21,77.89,75.62,80.77,88.49,96.96,75.76,56.63,78.71,79.31,74.44,94.15,100.34,86.6,52.72,104.94,99.78,121.17,104.24,116.06,109.81,62.19,102.09,111.68,111.94,94.2,120.21,124.05,93.05,115.32,115.22,96.91,126.37,142.39,143.85,110.53,123.62,120,130.74,127.28,131.93,140.71,101.82,,,141.43,142.82,162.48,151.69,114.84,127.74,135.72,150.32,159.03,170.58,163.15,123.93,137.45,140.04,143.23,145.12,165.62,174.83,130.06,133.21,143.71,143.06,149.65,173.87,212.61,148.05,136.2,141.48,148.57,157.28,185.78,197.41,152.19,160.18,153.42,160.66,163.15,193.41,224.81,147.97,150.01,150.76,149.48,162.91,191.44,200.86,146.34
county,Butler County,driving,,Alabama,United States,100,169.98,123.61,145.13,274.29,173,160.62,194.14,114.25,124.31,134.48,197.74,154.71,152.45,122.43,116.68,113.93,136.09,200.86,179.45,161.92,125.07,122.16,107.26,205,212.21,156.27,179.51,131.68,123.4,130.45,184.02,251.53,163.47,205.16,193.38,140.94,145.35,202.85,281.28,221.73,251.64,172.03,150.73,167.51,177.19,257.24,225.82,218.93,154.12,124.74,134.8,170.79,278.48,311.83,264.28,186.87,155.84,186.23,247.44,348.57,495.91,355.3,248.47,188.49,194.94,201.4,253.2,221.09,131.04,117.43,104.46,105.22,96.56,111.3,102.58,91.98,89.03,80.1,93.33,91.93,92.85,81.55,65.57,75.47,64.5,72.3,83.32,97.47,72.24,52.34,98.98,84.78,80.74,92.25,107.69,96.29,79.13,99.73,87.84,100,87.84,138.03,123.99,116.89,113.39,112.32,105.16,158.47,202.58,170.52,191.34,165.09,149.87,171.92,216.51,254.33,233.78,232.76,,,210.22,260.41,318.02,291.66,333.57,248.9,213.23,249.92,352.61,545.88,434.64,305,609.04,301.24,265.36,290.86,402.26,493.81,403.28,286.77,212.37,235.13,300.05,353.79,522.16,322.86,255.41,211.67,252.07,341.26,434.59,594.67,481.28,317.75,243.52,267.78,326.09,460.19,677.89,439.91,326.95,248.14,277.03,357.56,474.07,664.28,531.63
county,Calhoun County,driving,,Alabama,United States,100,96.47,96.37,101.14,119.94,110.51,78.81,94.68,97.16,93.7,93.45,120.17,114.15,76.61,91.7,96.94,91.57,101.21,124.38,110.2,82.76,94.39,98.02,92.19,98.28,119.89,112.99,86.86,89.87,99.22,95.17,124.54,166.17,132.78,89.08,105.55,116.72,108.7,101.8,129.84,124.97,85.83,96.09,106.15,108.39,118.74,138.43,136.08,96.79,99.9,107.18,106.32,111.2,145.95,152.25,104,109.76,106.21,112.78,115.64,122.56,122.9,77.92,84.43,82.73,84.55,86.42,85.82,80.14,54.86,62.39,66.95,77.35,78.17,83.98,74.16,55.47,70.69,65.45,71.69,73.82,79.92,61.84,43.1,63.59,65.5,66.14,72.7,81.29,71.3,36.49,75.04,77.54,86.23,85.98,98.22,87.89,53.71,86.39,84.53,89.09,88.2,112.89,97.2,73.22,92.51,94.51,89.36,104.58,115.56,108.08,83.97,98.38,105.75,108.02,112.79,119.52,116.19,80.84,,,117.13,123.73,134.34,137.92,96.23,112.34,123.19,126.57,136.38,152.7,133.79,103.77,105.15,119.66,116.81,134.07,143.92,146.77,109.76,116.99,124.42,129.38,132.86,152.86,153.58,117.32,126.49,129.21,135.6,147.77,161.83,160.18,123.9,137.12,137.67,135.58,147.46,173.52,178.89,114.83,133.4,132.28,134.83,144.2,168.09,173.96,117.91
county,Chambers County,driving,,Alabama,United States,100,151.13,116.82,114.04,167,154.85,115.66,133.47,118.54,114.72,114.67,138.61,146.67,107.96,102.93,118.07,113.67,121.42,150.34,150.45,112.83,111.68,109.95,101.89,109.59,154.37,141.64,120.53,116.92,111.63,118.91,139.5,193.56,162.7,120.17,134.52,115.4,127.13,129.23,174.59,160.5,141.75,120.69,131.27,139.13,145.94,180.93,185.59,145.73,124.1,114.14,109.74,135.46,182.66,190.26,146.36,138.66,136.77,135.46,141.96,179.99,175.8,135.67,126.09,110.53,137.82,118.86,126.14,124.46,84.86,88,104.71,104.5,95.86,113.04,109.74,79.94,84.28,83.03,89.21,91.83,101.89,80.98,65.64,82.98,83.81,90.36,94.19,99.27,94.03,56.68,99.16,100.47,98.59,112.36,119.07,122.37,65.27,105.5,111.47,108.64,91.15,137.4,126.19,96.6,121.74,116.97,105.87,134.26,144.53,148.3,126.72,120.27,125.2,130.85,143.58,162.76,166.79,127.97,,,143.32,154.22,177.16,180.83,168.36,139.81,152.91,158.09,173.13,211.84,221.79,178.89,209.64,183.24,168.2,180.09,228.92,228.6,186.17,170.82,165.74,170.67,187.95,217.5,232.9,174.02,162.49,171.29,173.6,181.82,226.3,230.54,185.39,180.51,169.09,183.76,207.02,242.54,247.67,182.5,190.89,169.41,175.54,183.03,227.76,245.68,209.38
county,Cherokee County,driving,,Alabama,United States,100,111.25,99.46,117.29,145.22,136.73,121.58,123.95,124.87,111.78,115.53,156.01,158.91,111.17,110.48,116.76,113.85,118.9,136.04,157.31,105.28,108.03,96.94,98.16,116.6,141.47,143.69,127.01,114.84,112.85,104.36,136.27,173.22,188.83,121.73,127.93,124.33,120.96,116.68,166.18,195.94,128.92,118.67,112.78,138.94,134.05,185.16,202.6,132.59,129.46,120.89,110.86,131.06,183.17,211.17,132.06,134.97,123.41,125.02,128.31,147.21,191.28,102.37,111.55,107.12,120.43,131.06,128.23,155.16,102.6,86.92,98.24,120.89,126.24,169.01,191.51,125.25,122.8,96.02,116.45,110.56,150.27,126.86,107.8,92.35,96.17,96.71,118.29,140.86,163.81,61.36,110.1,105.28,108.11,115.07,153.1,197.7,97.7,127.62,131.75,127.08,103.75,180.95,225.48,154.09,141.01,149.96,123.41,164.73,199.62,358.3,271.08,166.26,150.11,161.13,176.21,170.93,245.37,178.65,,,188.91,216.22,286.07,434.89,265.34,164.58,192.81,185.92,208.42,260.9,411.02,392.65,361.51,196.4,154.71,179.5,238.49,417.6,290.13,210.33,197.55,200.38,219.05,250.65,397.63,301.91,195.49,183.47,203.6,239.79,298.39,471.16,322.26,212.39,222.8,216.07,237.95,302.75,425.55,266.34,235.04,189.67,199.54,237.03,278.35,313.24,261.21
county,Chilton County,driving,,Alabama,United States,100,103.34,109.46,121.18,156.66,133.49,97.02,128.19,107.42,105.86,109.68,143.1,133.3,102.45,106,102.55,98.46,119.66,158.68,144.59,114.53,111.14,108.48,102.45,117.82,138.49,141.27,112.24,109.75,107.66,109.32,131.6,171.96,149.29,122.81,145.04,110.2,117.33,124.73,176.09,155.73,122.62,115.08,114.17,121.66,134.33,183.39,183.67,149.87,144.56,111.74,115.75,137.67,186.65,204.97,212.51,144.25,132.24,133.47,159.4,206.19,265.14,179.95,141.87,125.93,168.5,138.75,202.06,151.76,87.25,84.35,86.43,95.85,93.88,104.47,94.14,76.47,81.63,79.88,87.35,90.52,96.09,82.5,60.19,81.46,78.82,78.25,86.48,92.2,84.68,49.94,84.73,95.05,94.12,103.55,115.1,109.84,70.37,123.19,126.91,112.58,97,144.83,124.95,107.01,115.89,121.63,106.58,131.5,171.12,154.21,131.48,141.56,138.87,149.46,164.18,174.24,197.12,151,,,163.63,178.99,216.23,211.36,179.33,171.79,164.15,168.81,220.19,305.5,273.59,199.26,325.57,190.3,169.41,208.33,321.27,290.78,228.74,176.61,167.8,183.53,192.08,241.13,326.48,197.96,171.31,156.23,180.29,210.97,275.8,408.98,250.95,209.65,180.98,195.89,218.7,347.08,534.67,243.07,211.36,179.57,186.79,223.03,287.25,520.82,266.72
